Zone BACK Infiltration Hybrid Model Air Change Rate solved with T,Zone CORE Infiltration Hybrid Model Air Change Rate solved with T,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with T,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with T,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with T,Zone BACK Infiltration Hybrid Model Air Change Rate solved with CO2,Zone CORE Infiltration Hybrid Model Air Change Rate solved with CO2,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with CO2,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
0.767424013,0.840756685,0.90051357,0.803607268,0.780580366,1.195454309,1.195468108,1.195495258,1.195451981,1.1954541,0.766715158,0.769815017,0.770549775,0.767543969,0.767284439
0.775466868,0.830783396,0.855001583,0.793576513,0.786894195,1.179857628,1.179854713,1.179845481,1.179856635,1.179858534,0.770183616,0.773133492,0.773423068,0.770885673,0.770777624
0.854637722,0.911060944,0.914509895,0.871883992,0.864691342,1.228773964,1.228696635,1.228706768,1.22875646,1.228759089,0.769009214,0.771509396,0.771799222,0.769610414,0.76963417
0.648434114,0.706823028,0.731791349,0.669549048,0.671158966,0.916644891,0.915169092,0.914999002,0.916289915,0.916288252,0.765709414,0.767854741,0.768327114,0.766282879,0.766346826
2.466157451,2.556979275,2.579112654,2.494691478,2.499678804,2.610069021,2.608175692,2.607538906,2.609538818,2.609499478,2.537373085,2.542238658,2.544929695,2.538922866,2.539082784
2.270710846,2.336719127,2.385446603,2.297454922,2.300175355,2.661234808,2.660582411,2.660243466,2.66103289,2.661014393,2.539081063,2.543526643,2.546286802,2.540582681,2.540716614
2.214880772,2.279719141,2.326064719,2.242160919,2.244299871,2.597809383,2.597145337,2.596739599,2.597585498,2.597566335,2.54272172,2.546891029,2.549676118,2.544236507,2.544352022
2.015626324,2.11135276,2.176982005,2.057013701,2.059828888,2.19500358,2.194343976,2.193857425,2.194746694,2.194727861,2.53422671,2.538130592,2.54078157,2.535679137,2.535775867
1.801661656,1.960934306,2.042510655,1.866201092,1.869154158,2.752958078,2.752513017,2.752286758,2.752806945,2.752799124,2.522215514,2.526241339,2.528332227,2.523598839,2.523676277
2.337978961,2.35724409,2.368664323,2.348715913,2.349233471,2.319457549,2.31850622,2.318051625,2.319136888,2.319118524,2.521485118,2.525798845,2.527557382,2.522846119,2.522926032
2.332828817,2.362195648,2.370448326,2.343574984,2.344187994,4.424542366,4.424837904,4.424901459,4.424614019,4.424618806,2.523724436,2.528014481,2.529544311,2.5249976,2.525073807
2.439960812,2.451137422,2.454575473,2.443868444,2.444058979,4.714018464,4.71470874,4.714985277,4.714222608,4.714233611,2.528279694,2.532332946,2.53388101,2.529460315,2.529529491
