Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 12/25  18:00:00,1.087833935,7.418094365,0.474870767,0.594007507,0.606243011,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/25  19:00:00,0.267489133,2.145240118,0.22208988,0.167377778,0.167377778,0,0,0,0,0
 12/25  20:00:00,0,0.810917899,0,0,0,0,0,0,0,0
 12/25  21:00:00,0,0,0,0,0,0,0,0,0,0
 12/25  22:00:00,0,0.782847899,0,0,0,0,0,0,0,0
 12/25  23:00:00,0,1.661488273,0,0,0,0,0,0,0,0
 12/25  24:00:00,0,1.234903158,0,0,0,0,0,0,0,0
 12/26  01:00:00,0,2.208365347,0,0,0,0,0,0,0,0
 12/26  02:00:00,0,3.001485712,0,0,0,0,0,0,0,0
 12/26  03:00:00,0,2.044657793,0,0,0,0,0,0,0,0
 12/26  04:00:00,0,1.109863876,0,0,0,0,0,0,0,0
 12/26  05:00:00,0,1.682166524,0,0,0,0,0,0,0,0
 12/26  06:00:00,1.354831403,6.119593136,1.337445665,0.836888889,0.836888889,0,0,0,0,0
 12/26  07:00:00,4.239605281,15.57024383,4.239605281,2.652876782,2.652876782,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  08:00:00,4.239605281,15.71981895,4.239605281,2.652876782,2.652876782,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  09:00:00,11.75014707,44.21114527,12.71881584,7.288941897,7.956400487,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 12/26  10:00:00,12.71881584,46.61983814,12.71881584,7.958630346,7.958630346,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 12/26  11:00:00,12.04062491,44.28887341,12.71881584,7.433372761,7.958630346,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 12/26  12:00:00,12.71881584,46.70036946,12.71881584,7.958630346,7.958630346,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064
 12/26  13:00:00,5.84454008,21.90789975,5.84454008,3.657143449,3.657143449,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  14:00:00,5.84454008,21.84245751,5.84454008,3.657143449,3.657143449,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  15:00:00,5.839727201,21.68957519,5.84454008,3.657143449,3.657143449,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  16:00:00,4.749385856,18.88270795,4.860680697,3.484683933,2.958041099,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  17:00:00,4.292241563,18.51283792,3.425885333,2.618489961,2.612661541,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/26  18:00:00,2.119802641,7.989231674,1.911643644,1.2623312,1.320153479,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
