Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/10  16:00:00,0.15048821,0.150101104,0.150389501,0.150502106,0.150500912
 01/10  17:00:00,0.149895348,0.149545288,0.149812642,0.149904452,0.149906448
 01/10  18:00:00,0.074909399,0.074528208,0.074825742,0.074916577,0.074920264
 01/10  19:00:00,0.074550203,0.074266975,0.074491031,0.074554782,0.074557064
 01/10  20:00:00,0.000680576,0.000697616,0.000685185,0.000680126,0.000679901
 01/10  21:00:00,1.16E-15,1.28E-15,1.15E-15,1.39E-15,4.15E-15
 01/10  22:00:00,2.31E-15,0,1.16E-15,2.30E-15,2.76E-15
 01/10  23:00:00,1.71E-15,0,1.14E-15,4.59E-16,5.04E-15
 01/10  24:00:00,1.14E-15,6.49E-16,1.72E-15,1.81E-15,4.09E-15
 01/11  01:00:00,2.89E-15,0,2.31E-15,2.30E-15,4.62E-15
 01/11  02:00:00,1.13E-15,1.27E-15,1.14E-15,1.82E-15,3.18E-15
 01/11  03:00:00,2.31E-15,0,5.75E-16,9.17E-16,4.14E-15
 01/11  04:00:00,1.14E-15,6.28E-16,0,1.36E-15,4.11E-15
 01/11  05:00:00,1.15E-15,6.39E-16,1.14E-15,1.83E-15,4.11E-15
 01/11  06:00:00,0.000143299,0,9.02694E-05,0.000147251,0.000149227
 01/11  07:00:00,0.073979624,0.07382992,0.073953167,0.073981828,0.073982904
 01/11  08:00:00,0.073923747,0.073749405,0.073903363,0.073926365,0.073927967
 01/11  09:00:00,0.074856037,0.074683884,0.074839064,0.074858884,0.074858675
 01/11  10:00:00,0.074185821,0.074017676,0.074168904,0.074188996,0.074187514
 01/11  11:00:00,0.074216251,0.07405228,0.074195732,0.074220559,0.074216002
 01/11  12:00:00,0.074310599,0.074150209,0.074284425,0.074316062,0.074309124
 01/11  13:00:00,0.074361521,0.074200594,0.074328304,0.074368771,0.074361338
 01/11  14:00:00,0.073799923,0.07363866,0.073762106,0.073807505,0.073802157
 01/11  15:00:00,0.074177555,0.07401488,0.074136529,0.074182041,0.074181249
 01/11  16:00:00,0.07368863,0.073529213,0.073648398,0.07369028,0.073692343
 01/11  17:00:00,0.073686299,0.073527942,0.073648849,0.073685389,0.073689737
 01/11  18:00:00,0.073626426,0.073470027,0.073594389,0.073624007,0.073629277
 01/11  19:00:00,5.37282E-05,5.42203E-05,5.55023E-05,5.40965E-05,5.36317E-05
 01/11  20:00:00,2.22E-15,0,1.11E-15,0,2.21E-15
 01/11  21:00:00,5.50E-16,0,2.22E-15,0,3.09E-15
 01/11  22:00:00,1.11E-15,0,1.66E-15,4.36E-16,3.97E-15
 01/11  23:00:00,1.65E-15,0,1.65E-15,8.82E-16,3.53E-15
 01/11  24:00:00,5.53E-16,0,5.53E-16,8.81E-16,3.54E-15
 01/12  01:00:00,2.854981436,2.855785139,2.855021535,2.854968293,2.85496865
