Uncalibrated_Electricity_J,Uncalibrated_Gas_J,Target_Electricity_J,Target_Gas_J,,,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
60946873.59,29436926.5,59908691.85,24304089.73,1038181.74,5132836.77,,,,,,
57316856.83,17633537.35,56757326.63,17008224.33,559530.2,625313.02,,,,,,
60699270.28,0,60970957.57,0,-271687.29,0,,,,,,
55766630.31,0,56135570.32,0,-368940.01,0,,,,,,
52415086.83,0,52970962.7,0,-555875.87,0,,,,,,
50460668.17,0,51213155.7,0,-752487.53,0,,,,,,
53375322.37,743586.4116,53678708.47,825366.1586,-303386.1,-81779.747,,,,,,
