Target_Electricity_J,Target_Gas_J,Uncalibrated_Electricity_J,Uncalibrated_Gas_J
6798927.037,10945852.1,6798927.037,10504505.77
6798927.037,10390978.36,6798927.037,9963993.34
6798927.037,9918961.486,6798927.037,9497514.6
6798927.037,9499113.927,6798927.037,9086468.562
6798927.037,9140950.214,6798927.037,8739140.864
6798927.037,8792961.486,6798927.037,8382141.913
6798927.037,8525172.599,6798927.037,8104592.705
6798927.037,8261456.554,6798927.037,7832384.175
6798927.037,8153766.494,6798927.037,7718169.279
6798927.037,8087643.75,6798927.037,7646629.267
6798927.037,8081471.701,6798927.037,7637506.549
10680392.1,862417.9334,10513827.75,728289.6312
