Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/14  12:00:00,113406738.35741017,6853108.14052934 
 01/14  13:00:00,119578833.91186536,8549263.573376848 
 01/14  14:00:00,117031415.56516895,8548629.01140856 
 01/14  15:00:00,120166993.42066618,6849244.63754587 
 01/14  16:00:00,119479612.98977648,5155559.856370096 
 01/14  17:00:00,115670293.71202907,6852049.12815677 
 01/14  18:00:00,93821524.72050819,5154563.2443714779 
 01/14  19:00:00,84587221.9526653,3459351.7057546528 
 01/14  20:00:00,79498193.83855859,3459214.24495326 
 01/14  21:00:00,62995510.86390192,3459231.6488829927 
 01/14  22:00:00,62370909.16373887,3458541.656672192 
 01/14  23:00:00,47220260.71909205,1765135.959676757 
 01/14  24:00:00,40222475.95091783,9387659.75267247 
 01/15  01:00:00,34580257.57450944,3458293.584586184 
 01/15  02:00:00,34580257.57450944,1765104.316675308 
 01/15  03:00:00,34580257.57450944,1765114.8353945602 
 01/15  04:00:00,34580257.57450944,1765124.941540778 
 01/15  05:00:00,34580257.57450944,1765133.4699107535 
 01/15  06:00:00,47107465.52542727,16090059.902585753 
 01/15  07:00:00,47107465.52542727,16590247.740869236 
 01/15  08:00:00,68354878.50321564,5659305.889872299 
 01/15  09:00:00,110841824.92765804,5155564.010828756 
 01/15  10:00:00,105272079.3175783,10711114.520588503 
 01/15  11:00:00,107443501.37903929,6850318.168551678 
 01/15  12:00:00,110661287.97554901,6851534.001741057 
 01/15  13:00:00,117909946.42094256,8548606.418206944 
 01/15  14:00:00,108376113.73623055,8549047.787220138 
 01/15  15:00:00,111711106.89964365,6849406.865937419 
 01/15  16:00:00,109017274.02189817,5154978.21621215 
 01/15  17:00:00,109292472.54476258,6851133.294945416 
 01/15  18:00:00,86609156.79870555,5153729.582339473 
 01/15  19:00:00,82105629.37348983,3459662.4268816856 
 01/15  20:00:00,75081616.58439623,10562732.82289572 
 01/15  21:00:00,60877444.67444614,27292544.20883598 
 01/15  22:00:00,60877444.67444614,35931457.32231652 
 01/15  23:00:00,47107465.52542727,53964027.66123536 
 01/15  24:00:00,40222475.95091783,66372538.386069338 
 01/16  01:00:00,34580257.57450944,1765186.451060298 
 01/16  02:00:00,34580257.57450944,3458328.328186931 
 01/16  03:00:00,34580257.57450944,1765149.8938639498 
 01/16  04:00:00,34580257.57450944,1765235.3372247488 
 01/16  05:00:00,34580257.57450944,3458327.0005678918 
 01/16  06:00:00,47107465.52542727,106171634.6792583 
 01/16  07:00:00,47107465.52542727,110139645.71401255 
 01/16  08:00:00,65415667.82346502,73719743.17805253 
 01/16  09:00:00,105272079.3175783,101541500.95065707 
 01/16  10:00:00,105272079.3175783,114553864.18693002 
 01/16  11:00:00,105272079.3175783,108268828.30466585 
 01/16  12:00:00,105272079.3175783,115284048.16352575 
 01/16  13:00:00,105272079.3175783,34711783.550045307 
 01/16  14:00:00,105272079.3175783,98534049.81860253 
 01/16  15:00:00,105272079.3175783,97391083.71263114 
 01/16  16:00:00,105272079.3175783,43474527.591157238 
 01/16  17:00:00,105272079.3175783,63243372.319316897 
 01/16  18:00:00,82991533.2815028,78410777.58431515 
 01/16  19:00:00,74647423.82346502,26813438.49866918 
 01/16  20:00:00,74647423.82346502,77649219.79969006 
 01/16  21:00:00,60877444.67444614,100215596.95096553 
 01/16  22:00:00,60877444.67444614,107484542.51684201 
 01/16  23:00:00,47107465.52542727,112931367.33065574 
 01/16  24:00:00,40222475.95091783,129299692.51422663 
 01/17  01:00:00,34580257.57450944,1765236.216533722 
 01/17  02:00:00,34580257.57450944,3458418.2689935315 
 01/17  03:00:00,34580257.57450944,1765181.6104962524 
 01/17  04:00:00,34580257.57450944,3458313.320262961 
 01/17  05:00:00,34580257.57450944,1765308.1676403566 
 01/17  06:00:00,40222475.95091783,70756315.890488 
 01/17  07:00:00,47107465.52542727,75589379.24358067 
 01/17  08:00:00,37875709.52542727,75403150.38671851 
 01/17  09:00:00,46952155.82346503,89125764.16037342 
 01/17  10:00:00,46952155.82346503,71153855.27223683 
 01/17  11:00:00,46952155.82346503,44875746.08524886 
 01/17  12:00:00,46952155.82346503,19369438.16138485 
 01/17  13:00:00,29844273.112881457,5153555.24398979 
 01/17  14:00:00,31714592.80176408,3459777.88198124 
 01/17  15:00:00,32499009.081317508,3459419.4844415017 
 01/17  16:00:00,31462961.277401207,3459189.110044715 
 01/17  17:00:00,29627739.21929399,3459402.7300110768 
 01/17  18:00:00,36569323.76025352,3458576.2935168829 
 01/17  19:00:00,40222475.95091783,3807918.87601945 
 01/17  20:00:00,34580257.57450944,3458476.268082763 
 01/17  21:00:00,34580257.57450944,1765231.5992841467 
 01/17  22:00:00,34580257.57450944,3458762.2214894567 
 01/17  23:00:00,34580257.57450944,1765188.4955266119 
 01/17  24:00:00,34580257.57450944,1765123.172672709 
 01/18  01:00:00,34580257.57450944,3458232.038402209 
 01/18  02:00:00,34580257.57450944,1765118.5616810537 
 01/18  03:00:00,34580257.57450944,1765158.1327565492 
 01/18  04:00:00,34580257.57450944,3458165.601178063 
 01/18  05:00:00,34580257.57450944,1765136.1168475436 
 01/18  06:00:00,40222475.95091783,20627139.675786277 
 01/18  07:00:00,40222475.95091783,23244442.794717235 
